Year,Month,Date,Chapter,General Fund,Savings/Strike
2025,Jan,1/21/2025,SEIU 121RN ,"$63,266.71 ",$0.00 
2025,Jan,1/21/2025,SEIU 925 ,"$265,576.86 ",$0.00 
2025,Jan,1/21/2025,SEIU 2015 ,"$188,698.78 ","$171,778.94 "
2025,Jan,1/21/2025,SEIU 221 ,"$21,372.43 ",$0.00 
2025,Jan,1/21/2025,UFCW 21 ,"$60,561.18 ",$0.00 
2025,Jan,1/21/2025,MEAWU,$976.44 ,$0.00 
2025,Jan,1/21/2025,NVLF,"$3,873.00 ",$0.00 
2025,Jan,1/21/2025,UFCW367,"$4,310.54 ",$0.00 
2025,Jan,1/21/2025,KIWA,$0.00 ,"$1,388.00 "
2024,Dec,12/17/2024,WORKING WA,"$12,170.96 ",$150.73 
2024,Dec,12/17/2024,BSSU,"$77,839.70 ","$81,030.37 "
2024,Dec,12/17/2024,LA LABOR FED,"$13,146.07 ",$0.00 
2024,Dec,12/17/2024,PROTEC17,"$25,125.39 ",$0.00 
2024,Dec,12/17/2024,SEIU 121RN ,"$62,837.27 ",$0.00 
2024,Dec,12/17/2024,SEIU 925 ,"$265,576.86 ",$0.00 
2024,Dec,12/17/2024,SEIU 2015 ,"$216,431.66 ","$171,751.22 "
2024,Dec,12/17/2024,SEIU 221 ,"$22,101.22 ",$0.00 
2024,Dec,12/17/2024,UFCW 21 ,"$64,397.36 ",$0.00 
2024,Dec,12/17/2024,MEAWU,$976.44 ,$0.00 
2024,Dec,12/17/2024,NVLF,"$3,308.83 ",$0.00 
2024,Dec,12/17/2024,UFCW367,"$3,201.11 ",$0.00 
2024,Nov,11/19/2024,WORKING WA,"$11,691.52 ",$97.44 
2024,Nov,11/19/2024,BSSU,"$75,307.01 ","$81,017.71 "
2024,Nov,11/19/2024,LA LABOR FED,"$13,146.07 ",$0.00 
2024,Nov,11/19/2024,PROTEC17,"$27,617.78 ",$0.00 
2024,Nov,11/19/2024,SEIU 121RN ,"$62,623.03 ",$0.00 
2024,Nov,11/19/2024,SEIU 925 ,"$264,169.97 ",$0.00 
2024,Nov,11/19/2024,SEIU 2015 ,"$216,460.66 ","$171,724.54 "
2024,Nov,11/19/2024,SEIU 221 ,"$22,101.22 ",$0.00 
2024,Nov,11/19/2024,UFCW 21 ,"$62,686.77 ",$0.00 
2024,Nov,11/19/2024,MEAWU,$976.44 ,$0.00 
2024,Nov,11/19/2024,NVLF,"$2,918.13 ",$0.00 
2024,Oct,10/15/2024,WORKING WA,"$11,691.52 ",$97.42 
2024,Oct,10/15/2024,BSSU,"$73,793.72 ","$81,004.63 "
2024,Oct,10/15/2024,LA LABOR FED,"$13,146.07 ",$0.00 
2024,Oct,10/15/2024,PROTEC17,"$27,113.12 ",$0.00 
2024,Oct,10/15/2024,SEIU 121RN ,"$61,860.28 ",$0.00 
2024,Oct,10/15/2024,SEIU 925 ,"$263,185.59 ",$0.00 
2024,Oct,10/15/2024,SEIU 2015 ,"$215,162.17 ","$164,773.99 "
2024,Oct,10/15/2024,SEIU 221 ,"$21,258.72 ",$0.00 
2024,Oct,10/15/2024,UFCW 21 ,"$59,384.93 ",$0.00 
2024,Oct,10/15/2024,MEAWU,$420.50 ,$0.00 
2024,Oct,10/15/2024,NVLF,"$2,608.83 ",$0.00 
2024,Sept,9/17/2024,WORKING WA,"$11,456.10 ",$0.00 
2024,Sept,9/17/2024,BSSU,"$72,667.70 ","$80,991.98 "
2024,Sept,9/17/2024,LA LABOR FED,"$13,146.07 ",$0.00 
2024,Sept,9/17/2024,PROTEC17,"$26,586.66 ",$0.00 
2024,Sept,9/17/2024,SEIU 121RN ,"$61,673.72 ",$0.00 
2024,Sept,9/17/2024,SEIU 925 ,"$262,173.02 ",$0.00 
2024,Sept,9/17/2024,SEIU 2015 ,"$212,559.46 ","$164,992.81 "
2024,Sept,9/17/2024,SEIU 221 ,"$20,653.86 ",$0.00 
2024,Sept,9/17/2024,UFCW 21 ,"$59,384.93 ",$0.00 
2024,Sept,9/17/2024,NVLF,"$2,300.99 ",$0.00 
2024,Aug,8/20/2024,WORKING WA,"$11,054.93 ",$0.00 
2024,Aug,8/20/2024,BSSU,"$71,267.24 ","$80,980.03 "
2024,Aug,8/20/2024,LA LABOR FED,"$13,146.07 ",$0.00 
2024,Aug,8/20/2024,PROTEC17,"$25,787.28 ",$0.00 
2024,Aug,8/20/2024,SEIU 121RN ,"$61,281.29 ",$0.00 
2024,Aug,8/20/2024,SEIU 925 ,"$261,163.14 ",$0.00 
2024,Aug,8/20/2024,SEIU 2015 ,"$211,238.14 ","$162,764.33 "
2024,Aug,8/20/2024,SEIU 221 ,"$20,653.86 ",$0.00 
2024,Aug,8/20/2024,UFCW 21 ,"$57,209.24 ",$0.00 
2024,Aug,8/20/2024,NVLF,"$1,608.80 ",$0.00 
2024,July,7/16/2024,WORKING WA,"$10,814.92 ",$0.00 
2024,July,7/16/2024,BSSU,"$89,534.90 ","$61,262.18 "
2024,July,7/16/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,July,7/16/2024,PROTEC17,"$24,895.13 ",$0.00 
2024,July,7/16/2024,SEIU 121RN ,"$60,678.91 ",$0.00 
2024,July,7/16/2024,SEIU 925 ,"$260,243.77 ",$0.00 
2024,July,7/16/2024,SEIU 2015 ,"$197,988.75 ","$164,773.99 "
2024,July,7/16/2024,SEIU 221 ,"$19,248.55 ",$0.00 
2024,July,7/16/2024,UFCW 21 ,"$55,837.99 ",$0.00 
2024,July,7/16/2024,NVLF,"$1,608.80 ",$0.00 
2024,June,6/18/2024,WORKING WA,"$10,529.42 ",$0.00 
2024,June,6/18/2024,BSSU,"$87,410.36 ","$61,252.61 "
2024,June,6/18/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,June,6/18/2024,PROTEC17,"$24,605.16 ",$0.00 
2024,June,6/18/2024,SEIU 121RN ,"$59,612.29 ",$0.00 
2024,June,6/18/2024,SEIU 925 ,"$259,221.86 ",$0.00 
2024,June,6/18/2024,SEIU 2015 ,"$191,273.82 ","$160,289.51 "
2024,June,6/18/2024,SEIU 221 ,"$19,248.55 ",$0.00 
2024,June,6/18/2024,UFCW 21 ,"$54,476.61 ",$0.00 
2024,June,6/18/2024,NVLF,$916.61 ,$0.00 
2024,May,5/20/2024,WORKING WA,"$9,960.71 ",$0.00 
2024,May,5/20/2024,BSSU,"$86,726.10 ","$61,242.72 "
2024,May,5/20/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,May,5/20/2024,PROTEC17,"$24,078.19 ",$0.00 
2024,May,5/20/2024,SEIU 121RN ,"$59,612.29 ",$0.00 
2024,May,5/20/2024,SEIU 925 ,"$258,164.40 ",$0.00 
2024,May,5/20/2024,SEIU 2015 ,"$191,427.82 ","$160,264.03 "
2024,May,5/20/2024,SEIU 221 ,"$19,248.55 ",$0.00 
2024,May,5/20/2024,UFCW 21 ,"$53,115.52 ",$0.00 
2024,May,5/20/2024,NVLF,$608.97 ,$0.00 
2024,Apr,4/16/2024,WORKING WA,"$8,317.64 ",$0.00 
2024,Apr,4/16/2024,BSSU,"$85,441.40 ","$61,233.15 "
2024,Apr,4/16/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,Apr,4/16/2024,PROTEC17,"$23,576.20 ",$0.00 
2024,Apr,4/16/2024,SEIU 121RN ,"$58,891.73 ",$0.00 
2024,Apr,4/16/2024,SEIU 925 ,"$257,109.97 ",$0.00 
2024,Apr,4/16/2024,SEIU 2015 ,"$187,407.90 ","$147,378.63 "
2024,Apr,4/16/2024,SEIU 221 ,"$18,395.34 ",$0.00 
2024,Apr,4/16/2024,UFCW 21 ,"$51,483.03 ",$0.00 
2024,Mar,3/19/2024,WORKING WA,"$8,317.64 ",$0.00 
2024,Mar,3/19/2024,BSSU,"$83,983.56 ","$61,223.26 "
2024,Mar,3/19/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,Mar,3/19/2024,PROTEC17,"$22,823.99 ",$0.00 
2024,Mar,3/19/2024,SEIU 121RN ,"$58,891.73 ",$0.00 
2024,Mar,3/19/2024,SEIU 925 ,"$256,017.01 ",$0.00 
2024,Mar,3/19/2024,SEIU 2015 ,"$187,436.90 ","$147,355.08 "
2024,Mar,3/19/2024,SEIU 221 ,"$18,458.89 ",$0.00 
2024,Mar,3/19/2024,UFCW 21 ,"$54,926.36 ",$0.00 
2024,Feb,2/20/2024,WORKING WA,"$8,037.63 ",$0.00 
2024,Feb,2/20/2024,BSSU,"$82,226.44 ","$61,214.01 "
2024,Feb,2/20/2024,LA LABOR FED,"$9,694.55 ",$0.00 
2024,Feb,2/20/2024,PROTEC17,"$22,335.68 ",$0.00 
2024,Feb,2/20/2024,SEIU 121RN ,"$57,620.48 ",$0.00 
2024,Feb,2/20/2024,SEIU 925 ,"$254,927.07 ",$0.00 
2024,Feb,2/20/2024,SEIU 2015 ,"$181,844.02 ","$137,123.34 "
2024,Feb,2/20/2024,SEIU 221 ,"$17,772.79 ",$0.00 
2024,Feb,2/20/2024,UFCW 21 ,"$53,589.96 ",$0.00 
2024,Jan,1/16/2024,WORKING WA,"$7,732.54 ",$0.00 
